	id	ticker	enter	sl	tp	close	pre_score	Date_start	Date_end	type_open_close 	time_take	dolars_earn	earn	comment	name	sl1	tp1	tp2	tp3	current_date
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_08	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.692	2024-03-06		open	-	0	0.0	start 2024_03_08	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.692	2024-03-07		open	-	0	0.0	start 2024_03_08	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240308	AAPL	169.0	165.179	1690.0	0	1.692	2024-03-08		open	-	0	0.0	start 2024_03_08	x	496.619	190.484	392.873	664.993	2024-03-08
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_08	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_08	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.692	2024-03-06		open	-	0	0.0	start 2024_03_08	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.692	2024-03-07		open	-	0	0.0	start 2024_03_08	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240308	AAPL	169.0	165.083	1690.0	0	1.692	2024-03-08		open	-	0	0.0	start 2024_03_08	x	496.86	190.576	393.064	665.316	2024-03-08
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_08	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_08	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.692	2024-03-06		open	-	0	0.0	start 2024_03_08	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.692	2024-03-07		open	-	0	0.0	start 2024_03_08	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240308	AAPL	169.0	165.314	1690.0	0	1.692	2024-03-08		open	-	0	0.0	start 2024_03_08	x	497.035	190.644	393.202	665.55	2024-03-08
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_08	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_08	x	498.254	191.111	394.167	667.183	2024-03-05
0	AAPL_20240306	AAPL	171.06	163.201	1710.6	0	1.692	2024-03-06		open	-	0	0.0	start 2024_03_08	x	496.473	190.428	392.758	664.798	2024-03-06
0	AAPL_20240307	AAPL	169.15	163.085	1691.5	0	1.692	2024-03-07		open	-	0	0.0	start 2024_03_08	x	494.48	189.664	391.181	662.129	2024-03-07
0	AAPL_20240308	AAPL	169.0	165.806	1690.0	0	1.692	2024-03-08		open	-	0	0.0	start 2024_03_08	x	497.575	190.851	393.63	666.274	2024-03-08
0	AAPL_20240304	AAPL	176.15	168.972	1761.5	0	1.692	2024-03-04		open	-	0	0.0	start 2024_03_08	x	512.416	196.543	405.37	686.146	2024-03-04
0	AAPL_20240305	AAPL	170.76	164.166	1707.6	0	1.692	2024-03-05		open	-	0	0.0	start 2024_03_08	x	498.254	191.111	394.167	667.183	2024-03-05
