ticker	path	path_candle	path_stra	Net Profit	Net Profit_per	Total Closed Trades	Percent Profitable	Profit Factor	Max Drawdown	Max Drawdown_per	Avg Trade	Avg Trade_per	Avg # Bars in Trades
AVXL	d_price/pine_tree\AVXL_d5_q0.194_id1601_pine.java	d_price/TRAVIEW_stra/AVXL_candles.png	d_price/TRAVIEW_stra/AVXL_stra.png	24.55 USD	0%	50	70%	8.531	3.68 USD	0%	0.49 USD	3.54%	3
AVY	d_price/pine_tree\AVY_d5_q0.203_id771_pine.java	d_price/TRAVIEW_stra/AVY_candles.png	d_price/TRAVIEW_stra/AVY_stra.png	160.99 USD	0.02%	291	58.42%	1.884	49.61 USD	0%	0.55 USD	0.56%	21
AWI	d_price/pine_tree\AWI_d5_q0.203_id1742_pine.java	d_price/TRAVIEW_stra/AWI_candles.png	d_price/TRAVIEW_stra/AWI_stra.png	106.24 USD	0.01%	48	68.75%	5.976	8.08 USD	0%	2.21 USD	3.31%	12
AWK	d_price/pine_tree\AWK_d5_q0.223_id2048_pine.java	d_price/TRAVIEW_stra/AWK_candles.png	d_price/TRAVIEW_stra/AWK_stra.png	61.59 USD	0.01%	24	58.33%	3.814	22.37 USD	0%	2.57 USD	4.1%	67
AWR	d_price/pine_tree\AWR_d5_q0.204_id1190_pine.java	d_price/TRAVIEW_stra/AWR_candles.png	d_price/TRAVIEW_stra/AWR_stra.png	78.64 USD	0.01%	325	42.15%	2.167	18.47 USD	0%	0.24 USD	0.24%	8
AX	d_price/pine_tree\AX_d5_q0.177_id776_pine.java	d_price/TRAVIEW_stra/AX_candles.png	d_price/TRAVIEW_stra/AX_stra.png	104.68 USD	0.01%	114	50.88%	7.997	11.97 USD	0%	0.92 USD	1.34%	6
AXGN	d_price/pine_tree\AXGN_d5_q0.185_id1676_pine.java	d_price/TRAVIEW_stra/AXGN_candles.png	d_price/TRAVIEW_stra/AXGN_stra.png	26.92 USD	0%	177	55.93%	2.007	9.36 USD	0%	0.15 USD	1.69%	3
AXNX	d_price/pine_tree\AXNX_d5_q0.262_id1686_pine.java	d_price/TRAVIEW_stra/AXNX_candles.png	d_price/TRAVIEW_stra/AXNX_stra.png	185.63 USD	0.02%	81	75.31%	11.353	13.03 USD	0%	2.29 USD	5.62%	4
AXP	d_price/pine_tree\AXP_d5_q0.203_id445_pine.java	d_price/TRAVIEW_stra/AXP_candles.png	d_price/TRAVIEW_stra/AXP_stra.png	164.71 USD	0.02%	271	52.77%	3.083	31.43 USD	0%	0.61 USD	1.58%	8
AXR	d_price/pine_tree\AXR_d5_q0.173_id317_pine.java	d_price/TRAVIEW_stra/AXR_candles.png	d_price/TRAVIEW_stra/AXR_stra.png	43.52 USD	0%	257	45.53%	1.626	69.97 USD	0.01%	0.17 USD	3.09%	25
AXS	d_price/pine_tree\AXS_d5_q0.219_id778_pine.java	d_price/TRAVIEW_stra/AXS_candles.png	d_price/TRAVIEW_stra/AXS_stra.png	47.05 USD	0%	115	53.91%	1.798	11.93 USD	0%	0.41 USD	0.99%	9
AXSM	d_price/pine_tree\AXSM_d5_q0.205_id1162_pine.java	d_price/TRAVIEW_stra/AXSM_candles.png	d_price/TRAVIEW_stra/AXSM_stra.png	173.21 USD	0.02%	71	77.46%	5.237	26.39 USD	0%	2.44 USD	5.76%	3
AY	d_price/pine_tree\AY_d5_q0.202_id1666_pine.java	d_price/TRAVIEW_stra/AY_candles.png	d_price/TRAVIEW_stra/AY_stra.png	32.05 USD	0%	41	82.93%	13.52	3.10 USD	0%	0.78 USD	2.96%	4
AYI	d_price/pine_tree\AYI_d5_q0.196_id2119_pine.java	d_price/TRAVIEW_stra/AYI_candles.png	d_price/TRAVIEW_stra/AYI_stra.png	545.47 USD	0.05%	199	55.28%	3.21	87.88 USD	0.01%	2.74 USD	2.94%	11
AYX	d_price/pine_tree\AYX_d5_q0.179_id2074_pine.java	d_price/TRAVIEW_stra/AYX_candles.png	d_price/TRAVIEW_stra/AYX_stra.png	504.43 USD	0.05%	112	85.71%	20.446	19.42 USD	0%	4.50 USD	6.71%	5
AZN	d_price/pine_tree\AZN_d5_q0.231_id767_pine.java	d_price/TRAVIEW_stra/AZN_candles.png	d_price/TRAVIEW_stra/AZN_stra.png	16.69 USD	0%	120	54.17%	1.557	8.89 USD	0%	0.14 USD	0.66%	4
AZO	d_price/pine_tree\AZO_d5_q0.202_id1328_pine.java	d_price/TRAVIEW_stra/AZO_candles.png	d_price/TRAVIEW_stra/AZO_stra.png	9 010.57 USD	0.9%	265	58.49%	15.036	223.54 USD	0.02%	34.00 USD	4.51%	16
