ticker	path	path_candle	path_stra	Net Profit	Net Profit_per	Total Closed Trades	Percent Profitable	Profit Factor	Max Drawdown	Max Drawdown_per	Avg Trade	Avg Trade_per	Avg # Bars in Trades
DWSN	d_price/pine_tree\DWSN_d5_q0.167_id1238_pine.java	d_price/TRAVIEW_stra/DWSN_candles.png	d_price/TRAVIEW_stra/DWSN_stra.png	−14.30 USD	0%	196	47.45%	0.745	26.44 USD	0%	−0.07 USD	−0.22%	4
DX	d_price/pine_tree\DX_d5_q0.213_id297_pine.java	d_price/TRAVIEW_stra/DX_candles.png	d_price/TRAVIEW_stra/DX_stra.png	83.33 USD	0.01%	80	65%	2.985	40.50 USD	0%	1.04 USD	5.35%	6
DXC	d_price/pine_tree\DXC_d5_q0.197_id272_pine.java	d_price/TRAVIEW_stra/DXC_candles.png	d_price/TRAVIEW_stra/DXC_stra.png	8.50 USD	0%	15	60%	1.537	14.71 USD	0%	0.57 USD	2.62%	21
DXCM	d_price/pine_tree\DXCM_d5_q0.154_id746_pine.java	d_price/TRAVIEW_stra/DXCM_candles.png	d_price/TRAVIEW_stra/DXCM_stra.png	76.99 USD	0.01%	168	60.71%	2.257	24.52 USD	0%	0.46 USD	1.9%	6
DXLG	d_price/pine_tree\DXLG_d5_q0.146_id313_pine.java	d_price/TRAVIEW_stra/DXLG_candles.png	d_price/TRAVIEW_stra/DXLG_stra.png	8.17 USD	0%	201	51.24%	1.523	5.63 USD	0%	0.04 USD	1.74%	4
DY	d_price/pine_tree\DY_d5_q0.171_id1740_pine.java	d_price/TRAVIEW_stra/DY_candles.png	d_price/TRAVIEW_stra/DY_stra.png	101.79 USD	0.01%	135	56.3%	2.946	16.92 USD	0%	0.75 USD	1.75%	6
DZSI	d_price/pine_tree\DZSI_d5_q0.234_id236_pine.java	d_price/TRAVIEW_stra/DZSI_candles.png	d_price/TRAVIEW_stra/DZSI_stra.png	63.54 USD	0.01%	261	63.6%	1.758	30.61 USD	0%	0.24 USD	3.57%	4
E	d_price/pine_tree\E_d5_q0.229_id1753_pine.java	d_price/TRAVIEW_stra/E_candles.png	d_price/TRAVIEW_stra/E_stra.png	35.77 USD	0%	90	56.67%	2.023	12.18 USD	0%	0.40 USD	1.34%	5
EA	d_price/pine_tree\EA_d5_q0.182_id845_pine.java	d_price/TRAVIEW_stra/EA_candles.png	d_price/TRAVIEW_stra/EA_stra.png	478.90 USD	0.05%	465	59.78%	2.952	73.52 USD	0.01%	1.03 USD	2.37%	9
EADSY	d_price/pine_tree\EADSY_d5_q0.251_id2128_pine.java	d_price/TRAVIEW_stra/EADSY_candles.png	d_price/TRAVIEW_stra/EADSY_stra.png	44.02 USD	0%	58	67.24%	10.739	4.19 USD	0%	0.76 USD	3.45%	6
EAF	d_price/pine_tree\EAF_d5_q0.232_id1789_pine.java	d_price/TRAVIEW_stra/EAF_candles.png	d_price/TRAVIEW_stra/EAF_stra.png	20.86 USD	0%	71	71.83%	3.101	5.25 USD	0%	0.29 USD	3.84%	7
EAT	d_price/pine_tree\EAT_d5_q0.181_id1742_pine.java	d_price/TRAVIEW_stra/EAT_candles.png	d_price/TRAVIEW_stra/EAT_stra.png	40.87 USD	0%	348	52.59%	1.472	17.36 USD	0%	0.12 USD	0.53%	5
EB	d_price/pine_tree\EB_d5_q0.166_id843_pine.java	d_price/TRAVIEW_stra/EB_candles.png	d_price/TRAVIEW_stra/EB_stra.png	3.87 USD	0%	20	60%	2.087	1.73 USD	0%	0.19 USD	1.59%	3
EBIXQ	d_price/pine_tree\EBIXQ_d5_q0.167_id1745_pine.java	d_price/TRAVIEW_stra/EBIXQ_candles.png	d_price/TRAVIEW_stra/EBIXQ_stra.png	132.36 USD	0.01%	291	51.55%	1.983	44.74 USD	0%	0.45 USD	2.2%	6
EBR	d_price/pine_tree\EBR_d5_q0.153_id1186_pine.java	d_price/TRAVIEW_stra/EBR_candles.png	d_price/TRAVIEW_stra/EBR_stra.png	−1.84 USD	0%	53	56.6%	0.803	8.75 USD	0%	−0.03 USD	−1.05%	4
EBS	d_price/pine_tree\EBS_d5_q0.164_id2099_pine.java	d_price/TRAVIEW_stra/EBS_candles.png	d_price/TRAVIEW_stra/EBS_stra.png	45.01 USD	0%	27	88.89%	12.253	6.44 USD	0%	1.67 USD	9.42%	4
EC	d_price/pine_tree\EC_d5_q0.182_id1673_pine.java	d_price/TRAVIEW_stra/EC_candles.png	d_price/TRAVIEW_stra/EC_stra.png	−20.29 USD	0%	123	56.91%	0.86	115.57 USD	0.01%	−0.16 USD	2.4%	20
ECC	d_price/pine_tree\ECC_d5_q0.254_id2070_pine.java	d_price/TRAVIEW_stra/ECC_candles.png	d_price/TRAVIEW_stra/ECC_stra.png	31.99 USD	0%	84	77.38%	10.299	1.49 USD	0%	0.38 USD	3.37%	5
ECL	d_price/pine_tree\ECL_d5_q0.22_id782_pine.java	d_price/TRAVIEW_stra/ECL_candles.png	d_price/TRAVIEW_stra/ECL_stra.png	517.22 USD	0.05%	463	64.79%	7.856	49.50 USD	0%	1.12 USD	1.64%	16
ECPG	d_price/pine_tree\ECPG_d5_q0.177_id310_pine.java	d_price/TRAVIEW_stra/ECPG_candles.png	d_price/TRAVIEW_stra/ECPG_stra.png	14.83 USD	0%	57	47.37%	1.738	10.88 USD	0%	0.26 USD	0.51%	4
ECVT	d_price/pine_tree\ECVT_d5_q0.283_id1612_pine.java	d_price/TRAVIEW_stra/ECVT_candles.png	d_price/TRAVIEW_stra/ECVT_stra.png	24.63 USD	0%	80	77.5%	4.351	5.11 USD	0%	0.31 USD	2.76%	6
ED	d_price/pine_tree\ED_d5_q0.237_id373_pine.java	d_price/TRAVIEW_stra/ED_candles.png	d_price/TRAVIEW_stra/ED_stra.png	80.97 USD	0.01%	163	60.12%	2.417	11.98 USD	0%	0.50 USD	0.89%	12
EDD	d_price/pine_tree\EDD_d5_q0.26_id2025_pine.java	d_price/TRAVIEW_stra/EDD_candles.png	d_price/TRAVIEW_stra/EDD_stra.png	−12.71 USD	0%	86	40.7%	0.383	18.64 USD	0%	−0.15 USD	−0.82%	7
EDIT	d_price/pine_tree\EDIT_d5_q0.194_id2168_pine.java	d_price/TRAVIEW_stra/EDIT_candles.png	d_price/TRAVIEW_stra/EDIT_stra.png	100.62 USD	0.01%	51	68.63%	4.414	21.95 USD	0%	1.97 USD	9.63%	10
EDU	d_price/pine_tree\EDU_d5_q0.228_id229_pine.java	d_price/TRAVIEW_stra/EDU_candles.png	d_price/TRAVIEW_stra/EDU_stra.png	56.09 USD	0.01%	82	69.51%	2.653	14.64 USD	0%	0.68 USD	3.65%	5
EEFT	d_price/pine_tree\EEFT_d5_q0.186_id2182_pine.java	d_price/TRAVIEW_stra/EEFT_candles.png	d_price/TRAVIEW_stra/EEFT_stra.png	152.02 USD	0.02%	142	52.82%	2.866	35.10 USD	0%	1.07 USD	0.9%	7
EEX	d_price/pine_tree\EEX_d5_q0.264_id2035_pine.java	d_price/TRAVIEW_stra/EEX_candles.png	d_price/TRAVIEW_stra/EEX_stra.png	23.33 USD	0%	86	79.07%	6.718	2.86 USD	0%	0.27 USD	6.88%	4
EFC	d_price/pine_tree\EFC_d5_q0.236_id2148_pine.java	d_price/TRAVIEW_stra/EFC_candles.png	d_price/TRAVIEW_stra/EFC_stra.png	3.40 USD	0%	32	59.38%	1.634	2.18 USD	0%	0.11 USD	0.59%	8
EFOI	d_price/pine_tree\EFOI_d5_q0.196_id872_pine.java	d_price/TRAVIEW_stra/EFOI_candles.png	d_price/TRAVIEW_stra/EFOI_stra.png	1 819.78 USD	0.18%	121	63.64%	1.701	1 238.60 USD	0.12%	15.04 USD	4.61%	5
EFX	d_price/pine_tree\EFX_d5_q0.215_id361_pine.java	d_price/TRAVIEW_stra/EFX_candles.png	d_price/TRAVIEW_stra/EFX_stra.png	378.13 USD	0.04%	810	43.33%	2.495	44.94 USD	0%	0.47 USD	0.67%	13
EFXT	d_price/pine_tree\EFXT_d5_q0.884_id1633_pine.java	d_price/TRAVIEW_stra/EFXT_candles.png	d_price/TRAVIEW_stra/EFXT_stra.png	−22.27 USD	0%	193	43.52%	0.629	26.57 USD	0%	−0.12 USD	−1.31%	6
EG	d_price/pine_tree\EG_d5_q0.245_id1181_pine.java	d_price/TRAVIEW_stra/EG_candles.png	d_price/TRAVIEW_stra/EG_stra.png	444.34 USD	0.04%	306	45.75%	1.66	176.09 USD	0.02%	1.45 USD	1.41%	17
EGBN	d_price/pine_tree\EGBN_d5_q0.205_id1319_pine.java	d_price/TRAVIEW_stra/EGBN_candles.png	d_price/TRAVIEW_stra/EGBN_stra.png	145.94 USD	0.01%	173	69.94%	4.478	16.06 USD	0%	0.84 USD	3.36%	14
EGLE	d_price/pine_tree\EGLE_d5_q0.18_id1693_pine.java	d_price/TRAVIEW_stra/EGLE_candles.png	d_price/TRAVIEW_stra/EGLE_stra.png	−4 881.39 USD	−0.49%	98	54.08%	0.35	11 947.83 USD	1.19%	−49.81 USD	0.73%	5
EGO	d_price/pine_tree\EGO_d5_q0.166_id1169_pine.java	d_price/TRAVIEW_stra/EGO_candles.png	d_price/TRAVIEW_stra/EGO_stra.png	−22.68 USD	0%	17	35.29%	0.275	41.14 USD	0%	−1.33 USD	5.1%	10
EGP	d_price/pine_tree\EGP_d5_q0.2_id1179_pine.java	d_price/TRAVIEW_stra/EGP_candles.png	d_price/TRAVIEW_stra/EGP_stra.png	17.74 USD	0%	30	46.67%	3.481	6.36 USD	0%	0.59 USD	0.49%	8
EGRX	d_price/pine_tree\EGRX_d5_q0.166_id698_pine.java	d_price/TRAVIEW_stra/EGRX_candles.png	d_price/TRAVIEW_stra/EGRX_stra.png	120.57 USD	0.01%	46	80.43%	11.576	5.39 USD	0%	2.62 USD	8.35%	5
EGY	d_price/pine_tree\EGY_d5_q0.186_id770_pine.java	d_price/TRAVIEW_stra/EGY_candles.png	d_price/TRAVIEW_stra/EGY_stra.png	34.61 USD	0%	440	56.14%	1.558	14.27 USD	0%	0.08 USD	3.32%	9
EHC	d_price/pine_tree\EHC_d5_q0.216_id334_pine.java	d_price/TRAVIEW_stra/EHC_candles.png	d_price/TRAVIEW_stra/EHC_stra.png	223.05 USD	0.02%	225	63.56%	2.563	107.67 USD	0.01%	0.99 USD	4.21%	8
EIM	d_price/pine_tree\EIM_d5_q0.32_id785_pine.java	d_price/TRAVIEW_stra/EIM_candles.png	d_price/TRAVIEW_stra/EIM_stra.png	1.34 USD	0%	26	50%	1.644	1.20 USD	0%	0.05 USD	0.57%	11
EIX	d_price/pine_tree\EIX_d5_q0.209_id751_pine.java	d_price/TRAVIEW_stra/EIX_candles.png	d_price/TRAVIEW_stra/EIX_stra.png	105.96 USD	0.01%	380	52.63%	1.972	34.19 USD	0%	0.28 USD	1.06%	21
EL	d_price/pine_tree\EL_d5_q0.22_id1171_pine.java	d_price/TRAVIEW_stra/EL_candles.png	d_price/TRAVIEW_stra/EL_stra.png	273.53 USD	0.03%	153	62.75%	6.096	17.52 USD	0%	1.79 USD	1.33%	10
ELAN	d_price/pine_tree\ELAN_d5_q0.255_id377_pine.java	d_price/TRAVIEW_stra/ELAN_candles.png	d_price/TRAVIEW_stra/ELAN_stra.png	24.69 USD	0%	22	81.82%	23.045	6.08 USD	0%	1.12 USD	6.41%	8
ELME	d_price/pine_tree\ELME_d5_q0.218_id1203_pine.java	d_price/TRAVIEW_stra/ELME_candles.png	d_price/TRAVIEW_stra/ELME_stra.png	33.59 USD	0%	119	57.98%	2.97	4.92 USD	0%	0.28 USD	1.14%	5
ELP	d_price/pine_tree\ELP_d5_q0.167_id841_pine.java	d_price/TRAVIEW_stra/ELP_candles.png	d_price/TRAVIEW_stra/ELP_stra.png	1.67 USD	0%	87	45.98%	1.227	2.67 USD	0%	0.02 USD	0.93%	8
ELS	d_price/pine_tree\ELS_d5_q0.236_id1298_pine.java	d_price/TRAVIEW_stra/ELS_candles.png	d_price/TRAVIEW_stra/ELS_stra.png	94.96 USD	0.01%	156	68.59%	9.279	8.14 USD	0%	0.61 USD	1.68%	10
ELV	d_price/pine_tree\ELV_d5_q0.232_id1289_pine.java	d_price/TRAVIEW_stra/ELV_candles.png	d_price/TRAVIEW_stra/ELV_stra.png	762.70 USD	0.08%	195	70.26%	6.345	73.26 USD	0.01%	3.91 USD	2.1%	6
EMD	d_price/pine_tree\EMD_d5_q0.29_id2141_pine.java	d_price/TRAVIEW_stra/EMD_candles.png	d_price/TRAVIEW_stra/EMD_stra.png	8.30 USD	0%	49	57.14%	3.024	3.64 USD	0%	0.17 USD	1.81%	9
EME	d_price/pine_tree\EME_d5_q0.222_id2068_pine.java	d_price/TRAVIEW_stra/EME_candles.png	d_price/TRAVIEW_stra/EME_stra.png	76.33 USD	0.01%	114	61.4%	4.244	15.34 USD	0%	0.67 USD	1.09%	6
EMN	d_price/pine_tree\EMN_d5_q0.187_id2212_pine.java	d_price/TRAVIEW_stra/EMN_candles.png	d_price/TRAVIEW_stra/EMN_stra.png	127.04 USD	0.01%	249	55.02%	1.771	99.32 USD	0.01%	0.51 USD	0.11%	10
EMR	d_price/pine_tree\EMR_d5_q0.191_id1794_pine.java	d_price/TRAVIEW_stra/EMR_candles.png	d_price/TRAVIEW_stra/EMR_stra.png	62.30 USD	0.01%	89	70.79%	4.055	27.09 USD	0%	0.70 USD	2.19%	7
EMX	d_price/pine_tree\EMX_d5_q0.181_id1648_pine.java	d_price/TRAVIEW_stra/EMX_candles.png	d_price/TRAVIEW_stra/EMX_stra.png	3.75 USD	0%	149	59.06%	2.426	1.13 USD	0%	0.03 USD	1.83%	4
ENB	d_price/pine_tree\ENB_d5_q0.207_id1578_pine.java	d_price/TRAVIEW_stra/ENB_candles.png	d_price/TRAVIEW_stra/ENB_stra.png	11.35 CAD	0%	25	56%	4.17	6.05 CAD	0%	0.45 CAD	0.59%	25
ENGIY	d_price/pine_tree\ENGIY_d5_q0.216_id1133_pine.java	d_price/TRAVIEW_stra/ENGIY_candles.png	d_price/TRAVIEW_stra/ENGIY_stra.png	20.77 USD	0%	138	60.14%	1.365	41.47 USD	0%	0.15 USD	1.04%	8
ENIC	d_price/pine_tree\ENIC_d5_q0.195_id1188_pine.java	d_price/TRAVIEW_stra/ENIC_candles.png	d_price/TRAVIEW_stra/ENIC_stra.png	4.02 USD	0%	15	86.67%	37.545	0.19 USD	0%	0.27 USD	6.15%	4
ENLAY	d_price/pine_tree\ENLAY_d5_q0.211_id1147_pine.java	d_price/TRAVIEW_stra/ENLAY_candles.png	d_price/TRAVIEW_stra/ENLAY_stra.png	11.64 USD	0%	138	57.25%	1.942	4.69 USD	0%	0.08 USD	1.59%	6
ENLC	d_price/pine_tree\ENLC_d5_q0.157_id364_pine.java	d_price/TRAVIEW_stra/ENLC_candles.png	d_price/TRAVIEW_stra/ENLC_stra.png	−6.13 USD	0%	118	51.69%	0.853	31.19 USD	0%	−0.05 USD	0.01%	4
ENOV	d_price/pine_tree\ENOV_d5_q0.165_id1767_pine.java	d_price/TRAVIEW_stra/ENOV_candles.png	d_price/TRAVIEW_stra/ENOV_stra.png	16.28 USD	0%	10	70%	47.514	4.07 USD	0%	1.63 USD	3.22%	20
ENPH	d_price/pine_tree\ENPH_d5_q0.166_id2215_pine.java	d_price/TRAVIEW_stra/ENPH_candles.png	d_price/TRAVIEW_stra/ENPH_stra.png	766.60 USD	0.08%	136	55.88%	4.907	182.18 USD	0.02%	5.64 USD	14.74%	29
ENR	d_price/pine_tree\ENR_d5_q0.163_id367_pine.java	d_price/TRAVIEW_stra/ENR_candles.png	d_price/TRAVIEW_stra/ENR_stra.png	13.10 EUR	0%	35	60%	3.101	5.19 EUR	0%	0.37 EUR	2.26%	11
ENS	d_price/pine_tree\ENS_d5_q0.196_id283_pine.java	d_price/TRAVIEW_stra/ENS_candles.png	d_price/TRAVIEW_stra/ENS_stra.png	9.53 USD	0%	10	40%	3.59	3.25 USD	0%	0.95 USD	0.23%	3
ENTA	d_price/pine_tree\ENTA_d5_q0.216_id382_pine.java	d_price/TRAVIEW_stra/ENTA_candles.png	d_price/TRAVIEW_stra/ENTA_stra.png	424.30 USD	0.04%	115	70.43%	6.247	42.77 USD	0%	3.69 USD	7.06%	11
ENTG	d_price/pine_tree\ENTG_d5_q0.201_id829_pine.java	d_price/TRAVIEW_stra/ENTG_candles.png	d_price/TRAVIEW_stra/ENTG_stra.png	142.21 USD	0.01%	148	41.22%	2.127	90.91 USD	0.01%	0.96 USD	4.79%	27
ENV	d_price/pine_tree\ENV_d5_q0.189_id2113_pine.java	d_price/TRAVIEW_stra/ENV_candles.png	d_price/TRAVIEW_stra/ENV_stra.png	43.20 USD	0%	54	79.63%	3.697	19.96 USD	0%	0.80 USD	3.54%	11
ENVA	d_price/pine_tree\ENVA_d5_q0.168_id2155_pine.java	d_price/TRAVIEW_stra/ENVA_candles.png	d_price/TRAVIEW_stra/ENVA_stra.png	32.91 USD	0%	34	67.65%	3.191	13.25 USD	0%	0.97 USD	6.43%	17
ENZ	d_price/pine_tree\ENZ_d5_q0.148_id771_pine.java	d_price/TRAVIEW_stra/ENZ_candles.png	d_price/TRAVIEW_stra/ENZ_stra.png	22.48 USD	0%	106	66.98%	3.087	7.58 USD	0%	0.21 USD	3.86%	9
EOG	d_price/pine_tree\EOG_d5_q0.185_id296_pine.java	d_price/TRAVIEW_stra/EOG_candles.png	d_price/TRAVIEW_stra/EOG_stra.png	143.21 USD	0.01%	295	48.14%	2.202	27.74 USD	0%	0.49 USD	0.62%	5
EOLS	d_price/pine_tree\EOLS_d5_q0.206_id2098_pine.java	d_price/TRAVIEW_stra/EOLS_candles.png	d_price/TRAVIEW_stra/EOLS_stra.png	60.61 USD	0.01%	74	82.43%	21.271	3.45 USD	0%	0.82 USD	9.13%	4
EPAC	d_price/pine_tree\EPAC_d5_q0.21_id1144_pine.java	d_price/TRAVIEW_stra/EPAC_candles.png	d_price/TRAVIEW_stra/EPAC_stra.png	51.14 USD	0.01%	143	58.74%	2.697	9.65 USD	0%	0.36 USD	2.31%	9
EPAM	d_price/pine_tree\EPAM_d5_q0.214_id347_pine.java	d_price/TRAVIEW_stra/EPAM_candles.png	d_price/TRAVIEW_stra/EPAM_stra.png	208.10 USD	0.02%	47	74.47%	9.209	112.46 USD	0.01%	4.43 USD	2.68%	10
EPC	d_price/pine_tree\EPC_d5_q0.243_id1755_pine.java	d_price/TRAVIEW_stra/EPC_candles.png	d_price/TRAVIEW_stra/EPC_stra.png	30.23 USD	0%	65	58.46%	2.265	17.15 USD	0%	0.47 USD	0.95%	7
EPD	d_price/pine_tree\EPD_d5_q0.226_id1663_pine.java	d_price/TRAVIEW_stra/EPD_candles.png	d_price/TRAVIEW_stra/EPD_stra.png	43.77 USD	0%	106	65.09%	4.623	4.41 USD	0%	0.41 USD	1.97%	6
EPM	d_price/pine_tree\EPM_d5_q0.166_id2091_pine.java	d_price/TRAVIEW_stra/EPM_candles.png	d_price/TRAVIEW_stra/EPM_stra.png	3.67 USD	0%	35	62.86%	3.936	0.98 USD	0%	0.10 USD	5.05%	4
EPR	d_price/pine_tree\EPR_d5_q0.215_id256_pine.java	d_price/TRAVIEW_stra/EPR_candles.png	d_price/TRAVIEW_stra/EPR_stra.png	82.23 USD	0.01%	174	55.17%	1.978	38.43 USD	0%	0.47 USD	1.26%	6
EQ	d_price/pine_tree\EQ_d5_q0.245_id858_pine.java	d_price/TRAVIEW_stra/EQ_candles.png	d_price/TRAVIEW_stra/EQ_stra.png	0.20 USD	0%	9	55.56%	1.714	0.53 USD	0%	0.02 USD	4.37%	3
EQIX	d_price/pine_tree\EQIX_d5_q0.222_id754_pine.java	d_price/TRAVIEW_stra/EQIX_candles.png	d_price/TRAVIEW_stra/EQIX_stra.png	718.14 USD	0.07%	39	82.05%	13.468	59.34 USD	0.01%	18.41 USD	5.88%	19
EQNR	d_price/pine_tree\EQNR_d5_q0.181_id278_pine.java	d_price/TRAVIEW_stra/EQNR_candles.png	d_price/TRAVIEW_stra/EQNR_stra.png	62.39 USD	0.01%	177	54.24%	2.206	16.76 USD	0%	0.35 USD	1.57%	10
EQR	d_price/pine_tree\EQR_d5_q0.212_id860_pine.java	d_price/TRAVIEW_stra/EQR_candles.png	d_price/TRAVIEW_stra/EQR_stra.png	83.66 USD	0.01%	160	65%	2.744	19.32 USD	0%	0.52 USD	1.25%	6
EQT	d_price/pine_tree\EQT_d5_q0.143_id2077_pine.java	d_price/TRAVIEW_stra/EQT_candles.png	d_price/TRAVIEW_stra/EQT_stra.png	43.73 USD	0%	362	48.34%	2.021	22.92 USD	0%	0.12 USD	0.88%	9
ERF	d_price/pine_tree\ERF_d5_q0.121_id1346_pine.java	d_price/TRAVIEW_stra/ERF_candles.png	d_price/TRAVIEW_stra/ERF_stra.png	0.27 USD	0%	189	47.62%	1.003	57.13 USD	0.01%	0.00 USD	0.75%	7
ERIC	d_price/pine_tree\ERIC_d5_q0.191_id1579_pine.java	d_price/TRAVIEW_stra/ERIC_candles.png	d_price/TRAVIEW_stra/ERIC_stra.png	−114.18 USD	−0.01%	388	55.93%	0.538	171.95 USD	0.02%	−0.29 USD	0.11%	12
ERIE	d_price/pine_tree\ERIE_d5_q0.262_id1268_pine.java	d_price/TRAVIEW_stra/ERIE_candles.png	d_price/TRAVIEW_stra/ERIE_stra.png	364.99 USD	0.04%	140	63.57%	4.606	68.35 USD	0.01%	2.61 USD	1.21%	9
ERII	d_price/pine_tree\ERII_d5_q0.164_id2164_pine.java	d_price/TRAVIEW_stra/ERII_candles.png	d_price/TRAVIEW_stra/ERII_stra.png	52.47 USD	0.01%	70	57.14%	5.652	7.44 USD	0%	0.75 USD	4.15%	12
ERJ	d_price/pine_tree\ERJ_d5_q0.177_id736_pine.java	d_price/TRAVIEW_stra/ERJ_candles.png	d_price/TRAVIEW_stra/ERJ_stra.png	0.22 USD	0%	80	51.25%	1.007	21.04 USD	0%	0.00 USD	0.91%	4
ERO	d_price/pine_tree\ERO_d5_q0.168_id1667_pine.java	d_price/TRAVIEW_stra/ERO_candles.png	d_price/TRAVIEW_stra/ERO_stra.png	5.69 USD	0%	16	68.75%	3.659	1.46 USD	0%	0.36 USD	2.73%	5
ES	d_price/pine_tree\ES_d5_q0.244_id1774_pine.java	d_price/TRAVIEW_stra/ES_candles.png	d_price/TRAVIEW_stra/ES_stra.png	27.10 USD	0%	118	43.22%	1.528	30.27 USD	0%	0.23 USD	−0.82%	12
ESE	d_price/pine_tree\ESE_d5_q0.236_id841_pine.java	d_price/TRAVIEW_stra/ESE_candles.png	d_price/TRAVIEW_stra/ESE_stra.png	28.17 USD	0%	36	47.22%	5.124	3.66 USD	0%	0.78 USD	2.28%	5
ESI	d_price/pine_tree\ESI_d5_q0.159_id379_pine.java	d_price/TRAVIEW_stra/ESI_candles.png	d_price/TRAVIEW_stra/ESI_stra.png	−4.34 USD	0%	7	28.57%	0.248	5.77 USD	0%	−0.62 USD	−3.43%	13
ESLT	d_price/pine_tree\ESLT_d5_q0.21_id745_pine.java	d_price/TRAVIEW_stra/ESLT_candles.png	d_price/TRAVIEW_stra/ESLT_stra.png	179.32 USD	0.02%	75	68%	8.242	17.93 USD	0%	2.39 USD	2.62%	10
ESNT	d_price/pine_tree\ESNT_d5_q0.17_id2031_pine.java	d_price/TRAVIEW_stra/ESNT_candles.png	d_price/TRAVIEW_stra/ESNT_stra.png	16.22 USD	0%	11	90.91%	25.954	11.31 USD	0%	1.47 USD	3.83%	13
ESPR	d_price/pine_tree\ESPR_d5_q0.185_id2079_pine.java	d_price/TRAVIEW_stra/ESPR_candles.png	d_price/TRAVIEW_stra/ESPR_stra.png	70.05 USD	0.01%	38	63.16%	4.589	45.20 USD	0%	1.84 USD	7.78%	7
ESRT	d_price/pine_tree\ESRT_d5_q0.231_id2119_pine.java	d_price/TRAVIEW_stra/ESRT_candles.png	d_price/TRAVIEW_stra/ESRT_stra.png	35.11 USD	0%	116	72.41%	3.795	5.54 USD	0%	0.30 USD	3.15%	8
ESTA	d_price/pine_tree\ESTA_d5_q0.208_id1130_pine.java	d_price/TRAVIEW_stra/ESTA_candles.png	d_price/TRAVIEW_stra/ESTA_stra.png	199.15 USD	0.02%	29	72.41%	22.506	19.55 USD	0%	6.87 USD	21.78%	76
ESTC	d_price/pine_tree\ESTC_d5_q0.281_id2135_pine.java	d_price/TRAVIEW_stra/ESTC_candles.png	d_price/TRAVIEW_stra/ESTC_stra.png	662.31 USD	0.07%	65	83.08%	25.04	18.26 USD	0%	10.19 USD	11.04%	7
ET	d_price/pine_tree\ET_d5_q0.163_id2093_pine.java	d_price/TRAVIEW_stra/ET_candles.png	d_price/TRAVIEW_stra/ET_stra.png	16.16 USD	0%	186	54.84%	1.35	24.58 USD	0%	0.09 USD	1.38%	5
ETD	d_price/pine_tree\ETD_d5_q0.187_id730_pine.java	d_price/TRAVIEW_stra/ETD_candles.png	d_price/TRAVIEW_stra/ETD_stra.png	22.97 USD	0%	252	53.17%	1.125	115.31 USD	0.01%	0.09 USD	1.17%	14
ETN	d_price/pine_tree\ETN_d5_q0.194_id2075_pine.java	d_price/TRAVIEW_stra/ETN_candles.png	d_price/TRAVIEW_stra/ETN_stra.png	78.46 USD	0.01%	130	47.69%	3.626	14.27 USD	0%	0.60 USD	0.62%	8
ETRN	d_price/pine_tree\ETRN_d5_q0.224_id1175_pine.java	d_price/TRAVIEW_stra/ETRN_candles.png	d_price/TRAVIEW_stra/ETRN_stra.png	9.70 USD	0%	43	69.77%	2.54	4.02 USD	0%	0.23 USD	2.79%	6
ETV	d_price/pine_tree\ETV_d5_q0.272_id1578_pine.java	d_price/TRAVIEW_stra/ETV_candles.png	d_price/TRAVIEW_stra/ETV_stra.png	15.00 USD	0%	70	81.43%	1.889	32.29 USD	0%	0.21 USD	1.66%	10
ETW	d_price/pine_tree\ETW_d5_q0.265_id720_pine.java	d_price/TRAVIEW_stra/ETW_candles.png	d_price/TRAVIEW_stra/ETW_stra.png	18.17 USD	0%	63	79.37%	5.158	19.63 USD	0%	0.29 USD	3.05%	5
ETY	d_price/pine_tree\ETY_d5_q0.239_id1713_pine.java	d_price/TRAVIEW_stra/ETY_candles.png	d_price/TRAVIEW_stra/ETY_stra.png	−0.90 USD	0%	96	52.08%	0.965	20.07 USD	0%	−0.01 USD	0.6%	13
EURN	d_price/pine_tree\EURN_d5_q0.161_id1285_pine.java	d_price/TRAVIEW_stra/EURN_candles.png	d_price/TRAVIEW_stra/EURN_stra.png	66.34 USD	0.01%	122	75.41%	12.517	2.68 USD	0%	0.54 USD	5.08%	8
EVA	d_price/pine_tree\EVA_d5_q0.255_id2071_pine.java	d_price/TRAVIEW_stra/EVA_candles.png	d_price/TRAVIEW_stra/EVA_stra.png	2.93 USD	0%	5	80%	13.325	1.18 USD	0%	0.59 USD	1.13%	4
EVBG	d_price/pine_tree\EVBG_d5_q0.242_id1580_pine.java	d_price/TRAVIEW_stra/EVBG_candles.png	d_price/TRAVIEW_stra/EVBG_stra.png	157.90 USD	0.02%	62	77.42%	12.271	10.61 USD	0%	2.55 USD	5.75%	6
EVC	d_price/pine_tree\EVC_d5_q0.154_id680_pine.java	d_price/TRAVIEW_stra/EVC_candles.png	d_price/TRAVIEW_stra/EVC_stra.png	15.63 USD	0%	56	71.43%	2.766	17.24 USD	0%	0.28 USD	6.68%	11
EVER	d_price/pine_tree\EVER_d5_q0.278_id2027_pine.java	d_price/TRAVIEW_stra/EVER_candles.png	d_price/TRAVIEW_stra/EVER_stra.png	290.52 USD	0.03%	121	89.26%	31.2	15.98 USD	0%	2.40 USD	11.45%	9
