Open	High	Low	Close	Volume	Date
102.61	105.368	102.0	105.35	71935339	2016-01-04 05:00:00+00:00
105.75	105.85	102.41	102.71	58690536	2016-01-05 05:00:00+00:00
100.56	102.37	99.87	100.7	71079827	2016-01-06 05:00:00+00:00
98.68	100.13	96.43	96.45	85996453	2016-01-07 05:00:00+00:00
98.55	99.11	96.76	96.96	75066292	2016-01-08 05:00:00+00:00
98.97	99.06	97.34	98.53	52375648	2016-01-11 05:00:00+00:00
100.55	100.69	98.8399	99.96	51870901	2016-01-12 05:00:00+00:00
100.32	101.19	97.3	97.39	64725429	2016-01-13 05:00:00+00:00
97.96	100.48	95.74	99.52	65793807	2016-01-14 05:00:00+00:00
96.2	97.71	95.36	97.13	86255486	2016-01-15 05:00:00+00:00
98.41	98.65	95.5	96.66	55291216	2016-01-19 05:00:00+00:00
95.1	98.1897	93.42	96.79	76814602	2016-01-20 05:00:00+00:00
97.06	97.88	94.94	96.3	53874569	2016-01-21 05:00:00+00:00
98.63	101.46	98.37	101.42	68555074	2016-01-22 05:00:00+00:00
101.52	101.53	99.21	99.44	56705555	2016-01-25 05:00:00+00:00
99.93	100.88	98.07	99.99	76898628	2016-01-26 05:00:00+00:00
96.04	96.6289	93.34	93.42	136157631	2016-01-27 05:00:00+00:00
93.79	94.52	92.39	94.09	57382491	2016-01-28 05:00:00+00:00
94.79	97.34	94.35	97.34	72474634	2016-01-29 05:00:00+00:00
96.47	96.71	95.4	96.43	42902576	2016-02-01 05:00:00+00:00
95.42	96.04	94.28	94.48	39134721	2016-02-02 05:00:00+00:00
95.0	96.84	94.08	96.35	47879172	2016-02-03 05:00:00+00:00
95.86	97.33	95.19	96.6	48499674	2016-02-04 05:00:00+00:00
96.52	96.92	93.69	94.02	48376190	2016-02-05 05:00:00+00:00
93.13	95.7	93.04	95.01	57227983	2016-02-08 05:00:00+00:00
94.29	95.94	93.93	94.99	45772069	2016-02-09 05:00:00+00:00
95.92	96.35	94.1	94.27	43826931	2016-02-10 05:00:00+00:00
93.79	94.72	92.59	93.7	52982364	2016-02-11 05:00:00+00:00
94.19	94.5	93.01	93.99	43157667	2016-02-12 05:00:00+00:00
95.02	96.85	94.61	96.64	52197131	2016-02-16 05:00:00+00:00
96.67	98.21	96.15	98.12	47812812	2016-02-17 05:00:00+00:00
98.84	98.89	96.091	96.26	41324188	2016-02-18 05:00:00+00:00
96.0	96.7599	95.8	96.04	38446662	2016-02-19 05:00:00+00:00
96.31	96.9	95.92	96.88	32387908	2016-02-22 05:00:00+00:00
96.4	96.5	94.55	94.69	34294693	2016-02-23 05:00:00+00:00
93.98	96.38	93.32	96.1	37745063	2016-02-24 05:00:00+00:00
96.05	96.76	95.25	96.76	29119168	2016-02-25 05:00:00+00:00
97.2	98.0237	96.58	96.91	30498020	2016-02-26 05:00:00+00:00
96.86	98.23	96.65	96.69	39919732	2016-02-29 05:00:00+00:00
97.65	100.77	97.42	100.53	52455164	2016-03-01 05:00:00+00:00
100.51	100.89	99.64	100.75	35307986	2016-03-02 05:00:00+00:00
100.58	101.7099	100.45	101.5	37984634	2016-03-03 05:00:00+00:00
102.37	103.75	101.37	103.01	47786209	2016-03-04 05:00:00+00:00
102.39	102.83	100.96	101.87	37519632	2016-03-07 05:00:00+00:00
100.78	101.76	100.4	101.03	33586491	2016-03-08 05:00:00+00:00
101.31	101.58	100.27	101.12	28955320	2016-03-09 05:00:00+00:00
101.41	102.24	100.15	101.17	35340322	2016-03-10 05:00:00+00:00
102.24	102.28	101.5	102.26	29800480	2016-03-11 05:00:00+00:00
101.91	102.91	101.78	102.52	27250223	2016-03-14 04:00:00+00:00
103.96	105.18	103.85	104.58	42504244	2016-03-15 04:00:00+00:00
104.61	106.31	104.59	105.97	39875342	2016-03-16 04:00:00+00:00
105.52	106.47	104.96	105.8	36576627	2016-03-17 04:00:00+00:00
106.34	106.5	105.19	105.92	57003346	2016-03-18 04:00:00+00:00
105.93	107.65	105.1401	105.91	36641541	2016-03-21 04:00:00+00:00
105.25	107.29	105.21	106.72	34774761	2016-03-22 04:00:00+00:00
106.48	107.07	105.9	106.13	27200833	2016-03-23 04:00:00+00:00
105.47	106.25	104.89	105.67	28176646	2016-03-24 04:00:00+00:00
106.0	106.19	105.06	105.19	21097871	2016-03-28 04:00:00+00:00
104.89	107.79	104.88	107.68	33592200	2016-03-29 04:00:00+00:00
108.65	110.42	108.6	109.56	47329359	2016-03-30 04:00:00+00:00
109.72	109.9	108.88	108.99	28661454	2016-03-31 04:00:00+00:00
108.78	110.0	108.2	109.99	28464237	2016-04-01 04:00:00+00:00
110.42	112.19	110.27	111.12	39278053	2016-04-04 04:00:00+00:00
109.51	110.73	109.42	109.81	27816571	2016-04-05 04:00:00+00:00
110.23	110.98	109.2	110.96	27869318	2016-04-06 04:00:00+00:00
109.95	110.42	108.121	108.54	33169405	2016-04-07 04:00:00+00:00
108.91	109.77	108.17	108.66	25341763	2016-04-08 04:00:00+00:00
108.97	110.61	108.83	109.02	30828174	2016-04-11 04:00:00+00:00
109.34	110.5	108.66	110.44	28350785	2016-04-12 04:00:00+00:00
110.8	112.34	110.8	112.04	34715773	2016-04-13 04:00:00+00:00
111.62	112.39	111.33	112.1	27069703	2016-04-14 04:00:00+00:00
112.11	112.3	109.73	109.85	51000424	2016-04-15 04:00:00+00:00
108.89	108.95	106.94	107.48	63375588	2016-04-18 04:00:00+00:00
107.88	108.0	106.23	106.91	34193496	2016-04-19 04:00:00+00:00
106.64	108.09	106.06	107.13	31892738	2016-04-20 04:00:00+00:00
106.93	106.93	105.52	105.97	32951133	2016-04-21 04:00:00+00:00
105.01	106.48	104.62	105.68	36955237	2016-04-22 04:00:00+00:00
105.0	105.65	104.51	105.08	29546249	2016-04-25 04:00:00+00:00
103.91	105.3	103.91	104.35	57739159	2016-04-26 04:00:00+00:00
96.0	98.71	95.68	97.82	120001507	2016-04-27 04:00:00+00:00
97.61	97.88	94.25	94.83	84354912	2016-04-28 04:00:00+00:00
93.99	94.72	92.51	93.74	72707830	2016-04-29 04:00:00+00:00
93.965	94.08	92.4	93.64	49979374	2016-05-02 04:00:00+00:00
94.2	95.74	93.68	95.18	59259055	2016-05-03 04:00:00+00:00
95.2	95.9	93.82	94.19	43335456	2016-05-04 04:00:00+00:00
94.0	94.07	92.68	93.24	38566710	2016-05-05 04:00:00+00:00
93.37	93.45	91.85	92.72	45443287	2016-05-06 04:00:00+00:00
93.0	93.77	92.59	92.79	35589012	2016-05-09 04:00:00+00:00
93.33	93.57	92.11	93.42	35042421	2016-05-10 04:00:00+00:00
93.48	93.57	92.46	92.51	30359938	2016-05-11 04:00:00+00:00
92.72	92.78	89.47	90.34	78059725	2016-05-12 04:00:00+00:00
90.0	91.67	90.0	90.52	46466197	2016-05-13 04:00:00+00:00
92.39	94.39	91.65	93.88	64797882	2016-05-16 04:00:00+00:00
94.55	94.7	93.01	93.49	50459508	2016-05-17 04:00:00+00:00
94.16	95.21	93.89	94.56	44442591	2016-05-18 04:00:00+00:00
94.64	94.64	93.57	94.2	31590751	2016-05-19 04:00:00+00:00
94.64	95.43	94.52	95.22	34768389	2016-05-20 04:00:00+00:00
95.87	97.19	95.67	96.43	40951346	2016-05-23 04:00:00+00:00
97.22	98.09	96.84	97.9	37313741	2016-05-24 04:00:00+00:00
98.67	99.74	98.11	99.62	41464811	2016-05-25 04:00:00+00:00
99.68	100.73	98.64	100.41	58781264	2016-05-26 04:00:00+00:00
99.44	100.47	99.245	100.35	38453572	2016-05-27 04:00:00+00:00
99.6	100.4	98.82	99.86	48137192	2016-05-31 04:00:00+00:00
99.02	99.54	98.33	98.46	30824382	2016-06-01 04:00:00+00:00
97.6	97.84	96.63	97.72	42087281	2016-06-02 04:00:00+00:00
97.79	98.27	97.45	97.92	30211446	2016-06-03 04:00:00+00:00
97.99	101.89	97.55	98.63	24673071	2016-06-06 04:00:00+00:00
99.25	99.87	98.96	99.03	24122004	2016-06-07 04:00:00+00:00
99.02	99.56	98.68	98.94	22524809	2016-06-08 04:00:00+00:00
98.5	99.99	98.46	99.65	27737327	2016-06-09 04:00:00+00:00
98.53	99.3457	98.48	98.83	34099787	2016-06-10 04:00:00+00:00
98.69	99.12	97.1	97.34	39940655	2016-06-13 04:00:00+00:00
97.32	98.475	96.75	97.46	33422050	2016-06-14 04:00:00+00:00
97.82	98.41	97.03	97.14	31759230	2016-06-15 04:00:00+00:00
96.45	97.75	96.07	97.55	32477930	2016-06-16 04:00:00+00:00
